title,speaker,month,year,session,url,tags,excerpt
The Great Plan,Dallin H. Oaks,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/51oaks?lang=eng,,
The Blessing of Continuing Revelation to Prophets and Personal Revelation to Guide Our Lives,Quentin L. Cook,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/52cook?lang=eng,,
Finding Refuge from the Storms of Life,Ricardo P. Gimnez,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/53gimenez?lang=eng,,
Come and Belong,Dieter F. Uchtdorf,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/54uchtdorf?lang=eng,,
The Finest Homes,L. Whitney Clayton,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/55clayton?lang=eng,,
Sharing the Message of the Restoration and the Resurrection,D. Todd Christofferson,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/56christofferson?lang=eng,,
Go Forward in Faith,Russell M. Nelson President,April,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/04/57nelson?lang=eng,,
Moving Forward,Russell M. Nelson President,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/11nelson?lang=eng,,
We Will Prove Them Herewith,David A. Bednar,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/12bednar?lang=eng,,
Becoming like Him,Scott D. Whiting,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/13whiting?lang=eng,,
Eyes to See,Michelle D. Craig,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/14craig?lang=eng,,
Hearts Knit in Righteousness and Unity,Quentin L. Cook,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/15cook?lang=eng,,
Recommended to the Lord,Ronald A. Rasband,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/16rasband?lang=eng,,
Love Your Enemies,Dallin H. Oaks,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/17oaks?lang=eng,,
"Sustaining of General Authorities, Area Seventies, and General Officers",Henry B. Eyring,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/21eyring?lang=eng,,
Sustainable Societies,D. Todd Christofferson,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/22christofferson?lang=eng,,
Finding Joy in Christ,Steven J. Lund,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/23lund?lang=eng,,
"All Nations, Kindreds, and Tongues",Gerrit W. Gong,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/24gong?lang=eng,,
There Was Bread,Bishop W. Christopher Waddell,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/25waddell?lang=eng,,
The Exquisite Gift of the Son,Matthew S. Holland,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/26holland?lang=eng,,
The Culture of Christ,William K. Jackson,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/27jackson?lang=eng,,
God Will Do Something Unimaginable,Dieter F. Uchtdorf,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/28uchtdorf?lang=eng,,
By Union of Feeling We Obtain Power with God,Sharon Eubank,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/31eubank?lang=eng,,
Keep the Change,Becky Craven,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/32craven?lang=eng,,
Video: The Light That Shineth in Darkness,Feeling We Obtain Power,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/33video?lang=eng,,
The Healing Power of Jesus Christ,Cristina B. Franco,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/34franco?lang=eng,,
Sisters in Zion,Henry B. Eyring,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/35eyring?lang=eng,,
Be of Good Cheer,Dallin H. Oaks,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/36oaks?lang=eng,,
Embrace the Future with Faith,Russell M. Nelson President,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/37nelson?lang=eng,,
"Watch Ye Therefore, and Pray Always",M. Russell Ballard Acting,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/41ballard?lang=eng,,
"Peace, Be Still",Lisa L. Harkness,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/42harkness?lang=eng,,
Seek Christ in Every Thought,Ulisses Soares,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/43soares?lang=eng,,
I Believe in Angels,Carlos A. Godoy,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/44godoy?lang=eng,,
We Talk of Christ,Neil L. Andersen,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/45andersen?lang=eng,,
Let God Prevail,Russell M. Nelson President,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/46nelson?lang=eng,,
"Tested, Proved, and Polished",Henry B. Eyring,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/51eyring?lang=eng,,
"Let Patience Have Her Perfect Work, and Count It All Joy!",Jeremy R. Jaggi,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/52jaggi?lang=eng,,
Highly Favored of the Lord,Gary E. Stevenson,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/53stevenson?lang=eng,,
"Ask, Seek, and Knock",Milton Camargo,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/54camargo?lang=eng,,
"Do Justly, Love Mercy, and Walk Humbly with God",Dale G. Renlund,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/55renlund?lang=eng,,
Enduring Power,Kelly R. Johnson,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/56johnson?lang=eng,,
Waiting on the Lord,Jeffrey R. Holland,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/57holland?lang=eng,,
A New Normal,Russell M. Nelson President,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/58nelson?lang=eng,,
Saturday Afternoon Session,Feeling We Obtain Power,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/saturday-afternoon-session?lang=eng,,
Saturday Morning Session,Feeling We Obtain Power,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/saturday-morning-session,,
Saturday Morning Session,Feeling We Obtain Power,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/saturday-morning-session?lang=eng,,
Sunday Afternoon Session,Feeling We Obtain Power,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/sunday-afternoon-session?lang=eng,,
Sunday Morning Session,Feeling We Obtain Power,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/sunday-morning-session?lang=eng,,
Womens Session,Feeling We Obtain Power,October,2020,,https://www.churchofjesuschrist.org/study/general-conference/2020/10/womens-session?lang=eng,,
How Can I Understand?,Ulisses Soares,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/11soares?lang=eng,,
Careful versus Casual,Becky Craven,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/12craven?lang=eng,,
Answers to Prayer,Brook P. Hales,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/13hales?lang=eng,,
Missionary Work: Sharing What Is in Your Heart,Dieter F. Uchtdorf,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/14uchtdorf?lang=eng,,
Just as He Did,Bishop W. Christopher Waddell,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/15waddell?lang=eng,,
A Home Where the Spirit of the Lord Dwells,Henry B. Eyring,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/16eyring?lang=eng,,
The Sustaining of Church Officers,Dallin H. Oaks,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/21oaks?lang=eng,,
"Church Auditing Department Report, 2018",Kevin R. Jergensen,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/22jergensen?lang=eng,,
"The True, Pure, and Simple Gospel of Jesus Christ",M. Russell Ballard Acting,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/23ballard?lang=eng,,
Seeking Knowledge by the Spirit,Mathias Held,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/24held?lang=eng,,
The Eye of Faith,Neil L. Andersen,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/25andersen?lang=eng,,
Feasting upon the Words of Christ,Takashi Wada,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/26wada?lang=eng,,
Hearing His Voice,David P. Homer,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/27homer?lang=eng,,
Behold the Lamb of God,Jeffrey R. Holland,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/28holland?lang=eng,,
Your Priesthood Playbook,Gary E. Stevenson,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/31stevenson?lang=eng,,
The Quorum: A Place of Belonging,Carl B. Cook,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/32cook?lang=eng,,
Look unto Jesus Christ,Kim B. Clark,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/33clark?lang=eng,,
The Power of Sustaining Faith,Henry B. Eyring,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/34eyring?lang=eng,,
Where Will This Lead?,Dallin H. Oaks,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/35oaks?lang=eng,,
We Can Do Better and Be Better,Russell M. Nelson,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/36nelson?lang=eng,,
Abound with Blessings,Dale G. Renlund,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/41renlund?lang=eng,,
Christ: The Light That Shines in Darkness,Sharon Eubank,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/42eubank?lang=eng,,
Great Love for Our Fathers Children,Quentin L. Cook,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/43cook?lang=eng,,
Preparing for the Lords Return,D. Todd Christofferson,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/44christofferson?lang=eng,,
The Atonement of Jesus Christ,Tad R. Callister Recently Released,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/45callister?lang=eng,,
"Come, Follow Me",Russell M. Nelson,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/46nelson?lang=eng,,
Cleansed by Repentance,Dallin H. Oaks,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/51oaks?lang=eng,,
Exercising Our Spiritual Muscles,Juan Pablo Villar,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/52villar?lang=eng,,
"Good Shepherd, Lamb of God",Gerrit W. Gong,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/53gong?lang=eng,,
Prepared to Obtain Every Needful Thing,David A. Bednar,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/54bednar?lang=eng,,
The Immediate Goodness of God,Kyle S. McKay,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/55mckay?lang=eng,,
Build a Fortress of Spirituality and Protection,Ronald A. Rasband,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/56rasband?lang=eng,,
Closing Remarks,Russell M. Nelson,April,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/04/57nelson?lang=eng,,
"The Message, the Meaning, and the Multitude",Jeffrey R. Holland,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/11holland?lang=eng,,
True Disciples of the Savior,Terence M. Vinson,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/12vinson?lang=eng,,
"Be Faithful, Not Faithless",Stephen W. Owen,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/13owen?lang=eng,,
The Joy of the Saints,D. Todd Christofferson,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/14christofferson?lang=eng,,
Spiritual Capacity,Michelle Craig,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/15craig?lang=eng,,
Unwavering Commitment to Jesus Christ,Dale G. Renlund,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/16renlund?lang=eng,,
Trust in the Lord,Dallin H. Oaks,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/17oaks?lang=eng,,
"Sustaining of General Authorities, Area Seventies, and General Officers of theChurch",Henry B. Eyring,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/21eyring?lang=eng,,
Watchful unto Prayer Continually,David A. Bednar,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/22bednar?lang=eng,,
Found through the Power of the Book of Mormon,Rubn V. Alliaud,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/23alliaud?lang=eng,,
"Witnesses, Aaronic Priesthood Quorums, and Young Women Classes",Russell M. Nelson,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/24nelson?lang=eng,,
Adjustments to Strengthen Youth,Quentin L. Cook,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/25cook?lang=eng,,
"Come, Follow Methe Lords Counterstrategy and Proactive Plan",Mark L. Pace,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/26pace?lang=eng,,
Consistent and Resilient Trust,L. Todd Budge,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/27budge?lang=eng,,
After the Trial of Our Faith,Jorge M. Alvarado,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/28alvarado?lang=eng,,
Standing by Our Promises and Covenants,Ronald A. Rasband,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/29rasband?lang=eng,,
"Thru Cloud and Sunshine, Lord, Abide with Me!",Reyna I. Aburto,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/31aburto?lang=eng,,
Honoring His Name,Lisa L. Harkness,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/32harkness?lang=eng,,
Beloved Daughters,Bonnie H. Cordon Young Women,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/33cordon?lang=eng,,
Covenant Women in Partnership with God,Henry B. Eyring,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/34eyring?lang=eng,,
Two Great Commandments,Dallin H. Oaks,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/35oaks?lang=eng,,
Spiritual Treasures,Russell M. Nelson,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/36nelson?lang=eng,,
Covenant Belonging,Gerrit W. Gong,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/41gong?lang=eng,,
Finding Joy in Sharing the Gospel,Cristina B. Franco,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/42franco?lang=eng,,
Your Great Adventure,Dieter F. Uchtdorf,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/43uchtdorf?lang=eng,,
The Saviors Touch,Walter F. Gonzlez,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/44gonzalez?lang=eng,,
Deceive Me Not,Gary E. Stevenson,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/45stevenson?lang=eng,,
The Second Great Commandment,Russell M. Nelson,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/46nelson?lang=eng,,
Holiness and the Plan of Happiness,Henry B. Eyring,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/51eyring?lang=eng,,
"Knowing, Loving, and Growing",Hans T. Boom,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/52boom?lang=eng,,
Giving Our Spirits Control over Our Bodies,M. Russell Ballard Acting,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/53ballard?lang=eng,,
Power to Overcome the Adversary,Peter M. Johnson,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/54johnson?lang=eng,,
Take Up Our Cross,Ulisses Soares,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/55soares?lang=eng,,
Fruit,Neil L. Andersen,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/56andersen?lang=eng,,
Closing Remarks,Russell M. Nelson,October,2019,,https://www.churchofjesuschrist.org/study/general-conference/2019/10/57nelson?lang=eng,,
Am I a Child of God?,Brian K. Taylor,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/am-i-a-child-of-god?lang=eng,,
Be With and Strengthen Them,Jeffrey R. Holland,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/be-with-and-strengthen-them?lang=eng,,
Behold! A Royal Army,Ronald A. Rasband,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/behold-a-royal-army?lang=eng,,
Behold the Man!,Dieter F. Uchtdorf,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/behold-the-man?lang=eng,,
Christ the Lord Is Risen Today,Gerrit W. Gong,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/christ-the-lord-is-risen-today?lang=eng,,
"Church Auditing Department Report, 2017",Kevin R. Jergensen,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/church-auditing-department-report-2017?lang=eng,,
"Even as Christ Forgives You, So Also Do Ye",Larry J. Echo Hawk,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/even-as-christ-forgives-you-so-also-do-ye?lang=eng,,
Family History and Temple Work: Sealing and Healing,Dale G. Renlund,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/family-history-and-temple-work-sealing-and-healing?lang=eng,,
"He That Shall Endure unto the End, the Same Shall Be Saved",Claudio D. Zivic,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/he-that-shall-endure-unto-the-end-the-same-shall-be-saved?lang=eng,,
His Spirit to Be with You,Henry B. Eyring,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/his-spirit-to-be-with-you?lang=eng,,
Inspired Ministering,Henry B. Eyring,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/inspired-ministering?lang=eng,,
Introductory Remarks,Russell M. Nelson President,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/introductory-remarks?lang=eng,,
It Is All about People,Bishop Grald Causs Presiding Bishop,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/it-is-all-about-people?lang=eng,,
Let Us All Press On,Russell M. Nelson President,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/let-us-all-press-on?lang=eng,,
Meek and Lowly of Heart,David A. Bednar,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/meek-and-lowly-of-heart?lang=eng,,
Ministering as the Savior Does,Jean B. Bingham,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/ministering-as-the-savior-does?lang=eng,,
Ministering with the Power and Authority of God,Russell M. Nelson President,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/ministering-with-the-power-and-authority-of-god?lang=eng,,
Ministering,Russell M. Nelson President,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/ministering?lang=eng,,
One More Day,Taylor G. Godoy,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/one-more-day?lang=eng,,
Precious Gifts from God,M. Russell Ballard Acting,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/precious-gifts-from-god?lang=eng,,
Prepare to Meet God,Quentin L. Cook,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/prepare-to-meet-god?lang=eng,,
Prophets Speak by the Power of the Holy Spirit,Ulisses Soares,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/prophets-speak-by-the-power-of-the-holy-spirit?lang=eng,,
Pure Love: The True Sign of Every True Disciple of Jesus Christ,Massimo De Feo,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/pure-love-the-true-sign-of-every-true-disciple-of-jesus-christ?lang=eng,,
"Revelation for the Church, Revelation for Our Lives",Russell M. Nelson President,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/revelation-for-the-church-revelation-for-our-lives?lang=eng,,
Saving Ordinances Will Bring Us Marvelous Light,Taniela B. Wakolo,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/saving-ordinances-will-bring-us-marvelous-light?lang=eng,,
Small and Simple Things,Dallin H. Oaks,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/small-and-simple-things?lang=eng,,
Solemn Assembly,Henry B. Eyring,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/solemn-assembly?lang=eng,,
Take the Holy Spirit as Your Guide,Larry Y. Wilson,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/take-the-holy-spirit-as-your-guide?lang=eng,,
Teaching in the Homea Joyful and Sacred Responsibility,Devin G. Durrant,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/teaching-in-the-home-a-joyful-and-sacred-responsibility?lang=eng,,
The Elders Quorum,D. Todd Christofferson,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/the-elders-quorum?lang=eng,,
The Heart of a Prophet,Gary E. Stevenson,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/the-heart-of-a-prophet?lang=eng,,
The Powers of the Priesthood,Dallin H. Oaks,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/the-powers-of-the-priesthood?lang=eng,,
The Prophet of God,Neil L. Andersen,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/the-prophet-of-god?lang=eng,,
The Sustaining of Church Officers,Dallin H. Oaks,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/the-sustaining-of-church-officers?lang=eng,,
Until Seventy Times Seven,Lynn G. Robbins,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/until-seventy-times-seven?lang=eng,,
What Every Aaronic Priesthood Holder Needs to Understand,Douglas D. Holmes,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/what-every-aaronic-priesthood-holder-needs-to-understand?lang=eng,,
With One Accord,Reyna I. Aburto,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/with-one-accord?lang=eng,,
Young Women in the Work,Bonnie L. Oscarson Recently Released,April,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/04/young-women-in-the-work?lang=eng,,
All Must Take upon Them the Name Given of the Father,Paul B. Pieper,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/all-must-take-upon-them-the-name-given-of-the-father?lang=eng,,
Be Not Troubled,Ronald A. Rasband,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/be-not-troubled?lang=eng,,
Becoming a Shepherd,Bonnie H. Cordon Young Women,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/becoming-a-shepherd?lang=eng,,
Becoming Exemplary Latter-day Saints,Russell M. Nelson President,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/becoming-exemplary-latter-day-saints?lang=eng,,
"Believe, Love, Do",Dieter F. Uchtdorf,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/believe-love-do?lang=eng,,
Choose You This Day,Dale G. Renlund,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/choose-you-this-day?lang=eng,,
"Come, Listen to a Prophets Voice",Bishop Dean M. Davies,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/come-listen-to-a-prophets-voice?lang=eng,,
Deep and Lasting Conversion to Heavenly Father and the Lord Jesus Christ,Quentin L. Cook,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/deep-and-lasting-conversion-to-heavenly-father-and-the-lord-jesus-christ?lang=eng,,
Divine Discontent,Michelle D. Craig,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/divine-discontent?lang=eng,,
Firm and Steadfast in the Faith of Christ,D. Todd Christofferson,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/firm-and-steadfast-in-the-faith-of-christ?lang=eng,,
For Him,Joy D. Jones,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/for-him?lang=eng,,
Gather Together in One All Things in Christ,David A. Bednar,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/gather-together-in-one-all-things-in-christ?lang=eng,,
Laying the Foundation of a Great Work,Steven R. Bangerter,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/laying-the-foundation-of-a-great-work?lang=eng,,
Lift Up Your Head and Rejoice,M. Joseph Brough,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/lift-up-your-head-and-rejoice?lang=eng,,
Now Is the Time,Jack N. Gerard,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/now-is-the-time?lang=eng,,
One in Christ,Ulisses Soares,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/one-in-christ?lang=eng,,
Opening Remarks,Russell M. Nelson President,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/opening-remarks?lang=eng,,
Our Campfire of Faith,Gerrit W. Gong,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/our-campfire-of-faith?lang=eng,,
Parents and Children,Dallin H. Oaks,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/parents-and-children?lang=eng,,
Shepherding Souls,Gary E. Stevenson,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/shepherding-souls?lang=eng,,
Sisters Participation in the Gathering of Israel,Russell M. Nelson President,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/sisters-participation-in-the-gathering-of-israel?lang=eng,,
Taking upon Ourselves the Name of Jesus Christ,Robert C. Gay,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/taking-upon-ourselves-the-name-of-jesus-christ?lang=eng,,
The Correct Name of the Church,Russell M. Nelson President,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/the-correct-name-of-the-church?lang=eng,,
The Father,Brian K. Ashton,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/the-father?lang=eng,,
The Joy of Unselfish Service,Cristina B. Franco,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/the-joy-of-unselfish-service?lang=eng,,
The Ministry of Reconciliation,Jeffrey R. Holland,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/the-ministry-of-reconciliation?lang=eng,,
The Role of the Book of Mormon in Conversion,Shayne M. Bowen,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/the-role-of-the-book-of-mormon-in-conversion?lang=eng,,
The Sustaining of Church Officers,Henry B. Eyring,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/the-sustaining-of-church-officers?lang=eng,,
The Vision of the Redemption of the Dead,M. Russell Ballard Acting,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/the-vision-of-the-redemption-of-the-dead?lang=eng,,
Truth and the Plan,Dallin H. Oaks,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/truth-and-the-plan?lang=eng,,
"Try, Try, Try",Henry B. Eyring,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/try-try-try?lang=eng,,
Wilt Thou Be Made Whole?,Matthew L. Carpenter,October,2018,,https://www.churchofjesuschrist.org/study/general-conference/2018/10/wilt-thou-be-made-whole?lang=eng,,
